"timestamp","All grounds or no breakdown","Language  or dialect","Race or Colour","Religion or belief","Age","Disability","Other","Sex","Sexual orientation","Colour","Ethnic","Socioeconomic status","Ethnic or migration origin","Place of origin","Disability or health status","Ethnicity or colour or language","Political opinion","Sexual orientation and gender identity","Geographic location","Migration status","Marital and family status","Networking","Traditions"
"2014-01-01",23.975,,,4.4,13.45,5.26666666666667,22.15,7.3,0.8,,10.8,11.9,,,,6.9,,,9.6,,,,
"2015-01-01",18.5136363636364,0.7,1.1,1,2,0.3,2.3,2,0.5,,,5.4,,1.2,1.5,2,,,1.2,,,7.2,1
"2016-01-01",16.55,1,1.3,1.35,2.7,0.5,2.1,2.93333333333333,0.65,,,5.7,,1.7,1.4,3,,,1.2,,,8.1,1.5
"2017-01-01",20.30625,0.6,1.2,6.32031333333333,5.4492,1.17626,6.72957666666667,4.091092,1.07068666666667,2.1,11,9.2,3.15294,0.8,2.3,2.6,2.6,,5.86666666666667,9.3,,5.7,0.8
"2018-01-01",18.7261904761905,1.6,0.85,6.296875,7.49411764705882,2.73333333333333,6.90714285714286,7.05277777777778,1.30555555555556,7.46666666666667,9.19,9.66,,1.05,4.5,2.15,7.7,2.15,4.73333333333333,6.66666666666667,,5.2,0.8
"2019-01-01",15.6270588235294,1.1,0.9,5.51466666666667,6.509375,2.46375,4.80666666666667,5.37315789473684,3.38357142857143,8.68333333333333,1.45333333333333,4.84333333333333,7.8,0.806666666666667,2.1,,2.9375,0.3,1.16666666666667,3.26666666666667,7,3.8,1
"2020-01-01",17.1127272727273,3.15,6.3,12.2310714285714,5.225,1.5625,3.775,5.205,2,1.85,19.6238095238095,31.225,3,,1.18666666666667,2.54,5.15,0.725,3.6,8,,,
"2021-01-01",13.5355263157895,8.4,0.5,3.41423076923077,3.78769230769231,1.52857142857143,2.37333333333333,3.26714285714286,1.78333333333333,2.03333333333333,7.05,4.965,5.88,,1.42428571428571,2.794,2.1375,0.894166666666667,7.7,3.7,1.9,,
"2022-01-01",13.872962,,,4.06142857142857,3.35428571428571,2.05,5.367,3.84285714285714,2.875,1.7,8.8,3.4975,3.875,,1.132,5.76,3.92833333333333,1.218,3.7,10.2,3.3,,
"2023-01-01",16.7348876470588,,,3.24046727272727,3.21820454545455,1.714024,1.92884555555556,3.16788916666667,2.77401,2.4,7.25,2.66735142857143,1.30111,15.99304,1.09857142857143,2.06214285714286,1.55,0.781666666666667,2.4,3.62,0.966666666666667,,
"2024-01-01",19.4,,,2.83333333333333,4.63333333333333,3.8,6.1,5.86666666666667,,2.4,4.7,5.7,,,1.1,6.7,4.85,1.86666666666667,,11.5,2.4,,
