"","Category","name","value"
"1","Women HRDs","Central Asia and Southern Asia",12
"2","Women HRDs","Eastern Asia and South-eastern Asia",19
"3","Women HRDs","Latin America and the Caribbean",16
"4","Women HRDs","Northern America and Europe",19
"5","Women HRDs","Sub-Saharan Africa",7
"6","Women HRDs","Western Asia and Northern Africa",11
"7","Environment & land HRDs","Central Asia and Southern Asia",12
"8","Environment & land HRDs","Eastern Asia and South-eastern Asia",25
"9","Environment & land HRDs","Latin America and the Caribbean",52
"10","Environment & land HRDs","Northern America and Europe",6
"11","Environment & land HRDs","Sub-Saharan Africa",19
"12","Environment & land HRDs","Western Asia and Northern Africa",1
"13","Indigenous & minority HRDs","Central Asia and Southern Asia",18
"14","Indigenous & minority HRDs","Eastern Asia and South-eastern Asia",14
"15","Indigenous & minority HRDs","Latin America and the Caribbean",45
"16","Indigenous & minority HRDs","Northern America and Europe",13
"17","Indigenous & minority HRDs","Sub-Saharan Africa",18
"18","Indigenous & minority HRDs","Western Asia and Northern Africa",13
"19","Youth HRDs","Central Asia and Southern Asia",8
"20","Youth HRDs","Eastern Asia and South-eastern Asia",6
"21","Youth HRDs","Latin America and the Caribbean",10
"22","Youth HRDs","Northern America and Europe",31
"23","Youth HRDs","Sub-Saharan Africa",10
"24","Youth HRDs","Western Asia and Northern Africa",13
