"IndicatorCode","Indicator","ValueType","ParentLocationCode","ParentLocation","Location.type","SpatialDimValueCode","Location","Period.type","Period","IsLatestYear","Dim1.type","Dim1","Dim1ValueCode","Dim2.type","Dim2","Dim2ValueCode","Dim3.type","Dim3","Dim3ValueCode","DataSourceDimValueCode","DataSource","FactValueNumericPrefix","FactValueNumeric","FactValueUoM","FactValueNumericLowPrefix","FactValueNumericLow","FactValueNumericHighPrefix","FactValueNumericHigh","Value","FactValueTranslationID","FactComments","Language","DateModified","Region Name","M49 Code","Sub-region Name"
"WHOSIS_000001","Life expectancy at birth (years)","text","AFR","Africa","Country","LSO","Lesotho","Year",2021,"true","Sex","Male","SEX_MLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,48.73,NA,NA,47.8,NA,49.7,"48.7 [47.8-49.7]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Africa",426,"Sub-Saharan Africa"
"WHOSIS_000001","Life expectancy at birth (years)","text","AFR","Africa","Country","CAF","Central African Republic","Year",2021,"true","Sex","Male","SEX_MLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,49.57,NA,NA,48.45,NA,50.92,"49.6 [48.5-50.9]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Africa",140,"Sub-Saharan Africa"
"WHOSIS_000001","Life expectancy at birth (years)","text","AFR","Africa","Country","LSO","Lesotho","Year",2021,"true","Sex","Both sexes","SEX_BTSX",NA,NA,NA,NA,NA,NA,NA,NA,NA,51.48,NA,NA,50.49,NA,52.57,"51.5 [50.5-52.6]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Africa",426,"Sub-Saharan Africa"
"WHOSIS_000001","Life expectancy at birth (years)","text","AFR","Africa","Country","SWZ","Eswatini","Year",2021,"true","Sex","Male","SEX_MLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,51.64,NA,NA,50.73,NA,52.82,"51.6 [50.7-52.8]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Africa",748,"Sub-Saharan Africa"
"WHOSIS_000001","Life expectancy at birth (years)","text","EMR","Eastern Mediterranean","Country","SOM","Somalia","Year",2021,"true","Sex","Male","SEX_MLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,51.75,NA,NA,50.62,NA,53.1,"51.7 [50.6-53.1]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Africa",706,"Sub-Saharan Africa"
"WHOSIS_000001","Life expectancy at birth (years)","text","AFR","Africa","Country","CAF","Central African Republic","Year",2021,"true","Sex","Both sexes","SEX_BTSX",NA,NA,NA,NA,NA,NA,NA,NA,NA,52.31,NA,NA,51.06,NA,53.36,"52.3 [51.1-53.4]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Africa",140,"Sub-Saharan Africa"
"WHOSIS_000001","Life expectancy at birth (years)","text","EMR","Eastern Mediterranean","Country","SOM","Somalia","Year",2021,"true","Sex","Both sexes","SEX_BTSX",NA,NA,NA,NA,NA,NA,NA,NA,NA,53.95,NA,NA,52.92,NA,55.11,"54.0 [52.9-55.1]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Africa",706,"Sub-Saharan Africa"
"WHOSIS_000001","Life expectancy at birth (years)","text","AFR","Africa","Country","LSO","Lesotho","Year",2021,"true","Sex","Female","SEX_FMLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,54.6,NA,NA,53.25,NA,55.99,"54.6 [53.3-56.0]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Africa",426,"Sub-Saharan Africa"
"WHOSIS_000001","Life expectancy at birth (years)","text","AFR","Africa","Country","SWZ","Eswatini","Year",2021,"true","Sex","Both sexes","SEX_BTSX",NA,NA,NA,NA,NA,NA,NA,NA,NA,54.59,NA,NA,53.49,NA,55.87,"54.6 [53.5-55.9]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Africa",748,"Sub-Saharan Africa"
"WHOSIS_000001","Life expectancy at birth (years)","text","AFR","Africa","Country","MOZ","Mozambique","Year",2021,"true","Sex","Male","SEX_MLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,54.8,NA,NA,53.76,NA,55.83,"54.8 [53.8-55.8]",NA,NA,"EN","2024-08-01T22:00:00.000Z","Africa",508,"Sub-Saharan Africa"
