"country","Region Name","education","value","edu_factor"
"Germany","Europe","Tertiary education",9,6
"Israel","Asia","Tertiary education",23.5,6
"Bolivia (Plurinational State of)","Americas","Tertiary education",10.2,6
"Germany","Europe","Primary education",31,2
"Bolivia (Plurinational State of)","Americas","Primary education",16.5,2
"Germany","Europe","Upper secondary general education",9,4
"Israel","Asia","Upper secondary general education",24.1,4
"Germany","Europe","Lower secondary general education",14,3
"Israel","Asia","Lower secondary general education",23.2,3
"Bolivia (Plurinational State of)","Americas","Never attended an education programme / No schooling",21.4,1
"Bolivia (Plurinational State of)","Americas","Secondary education (lower and upper secondary education)",12.5,5
"Azerbaijan","Asia","Lower secondary general education",7.1,3
"Azerbaijan","Asia","Primary education",11.6,2
"Azerbaijan","Asia","Tertiary education",5.2,6
"Azerbaijan","Asia","Upper secondary general education",4.8,4
"Kyrgyzstan","Asia","Lower secondary general education",7.5,3
"Kyrgyzstan","Asia","Tertiary education",6.4,6
"Qatar","Asia","Primary education",3.6,2
"Qatar","Asia","Primary education",3.4,2
"Kyrgyzstan","Asia","Secondary education (lower and upper secondary education)",6.1,5
"Qatar","Asia","Secondary education (lower and upper secondary education)",2.5,5
"Qatar","Asia","Secondary education (lower and upper secondary education)",2.3,5
