Indicator,SeriesID,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Units,Time_Detail,Sex,Age,Disability status,Income,Education,Location,Grounds of discrimination,Nature,Reporting Type,Observation Status,ISOalpha3,Type,SeriesCode,Source,FootNote,,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",248,Aland Islands,2020,12.00,PERCENT,2020,BOTHSEX,ALLAGE,_T,_T,_T,ALLAREA,ALL,C,G,A,ALA,Country,VC_VOV_GDSD,National Statistical Office - Upplevd diskriminering,"Time period: refers only to occurrences in the last 12 months. Age: 16 years and over. Sample size: 576. Discrimination grounds (18): sex, old age, young age, family situation, looks (e.g. skin colour), national or ethnic origin, foreign name, language, religion or other beliefs, opinions/convictions, political engagement, participation in trade union activities, state of physical health, state of mental health, functional disability, sexual preferences, gender identity or gender expression, other.",,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",248,Aland Islands,2020,5.40,PERCENT,2020,BOTHSEX,ALLAGE,_T,_T,_T,ALLAREA,AGE,C,G,A,ALA,Country,VC_VOV_GDSD,National Statistical Office - Upplevd diskriminering,"Time period: refers only to occurrences in the last 12 months. Age: 16 years and over. Sample size: 576. Discrimination grounds (18): sex, old age, young age, family situation, looks (e.g. skin colour), national or ethnic origin, foreign name, language, religion or other beliefs, opinions/convictions, political engagement, participation in trade union activities, state of physical health, state of mental health, functional disability, sexual preferences, gender identity or gender expression, other.",,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",248,Aland Islands,2020,4.00,PERCENT,2020,BOTHSEX,ALLAGE,_T,_T,_T,ALLAREA,SEX,C,G,A,ALA,Country,VC_VOV_GDSD,National Statistical Office - Upplevd diskriminering,"Time period: refers only to occurrences in the last 12 months. Age: 16 years and over. Sample size: 576. Discrimination grounds (18): sex, old age, young age, family situation, looks (e.g. skin colour), national or ethnic origin, foreign name, language, religion or other beliefs, opinions/convictions, political engagement, participation in trade union activities, state of physical health, state of mental health, functional disability, sexual preferences, gender identity or gender expression, other.",,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",248,Aland Islands,2020,3.60,PERCENT,2020,BOTHSEX,ALLAGE,_T,_T,_T,ALLAREA,LANDIA,C,G,A,ALA,Country,VC_VOV_GDSD,National Statistical Office - Upplevd diskriminering,"Time period: refers only to occurrences in the last 12 months. Age: 16 years and over. Sample size: 576. Discrimination grounds (18): sex, old age, young age, family situation, looks (e.g. skin colour), national or ethnic origin, foreign name, language, religion or other beliefs, opinions/convictions, political engagement, participation in trade union activities, state of physical health, state of mental health, functional disability, sexual preferences, gender identity or gender expression, other.",,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",248,Aland Islands,2020,3.00,PERCENT,2020,BOTHSEX,ALLAGE,_T,_T,_T,ALLAREA,ETHIO,C,G,A,ALA,Country,VC_VOV_GDSD,National Statistical Office - Upplevd diskriminering,"Time period: refers only to occurrences in the last 12 months. Age: 16 years and over. Sample size: 576. Discrimination grounds (18): sex, old age, young age, family situation, looks (e.g. skin colour), national or ethnic origin, foreign name, language, religion or other beliefs, opinions/convictions, political engagement, participation in trade union activities, state of physical health, state of mental health, functional disability, sexual preferences, gender identity or gender expression, other.",,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",248,Aland Islands,2020,2.60,PERCENT,2020,BOTHSEX,ALLAGE,_T,_T,_T,ALLAREA,VIEW,C,G,A,ALA,Country,VC_VOV_GDSD,National Statistical Office - Upplevd diskriminering,"Time period: refers only to occurrences in the last 12 months. Age: 16 years and over. Sample size: 576. Discrimination grounds (18): sex, old age, young age, family situation, looks (e.g. skin colour), national or ethnic origin, foreign name, language, religion or other beliefs, opinions/convictions, political engagement, participation in trade union activities, state of physical health, state of mental health, functional disability, sexual preferences, gender identity or gender expression, other.",,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",248,Aland Islands,2020,1.70,PERCENT,2020,BOTHSEX,ALLAGE,_T,_T,_T,ALLAREA,FNAM,C,G,A,ALA,Country,VC_VOV_GDSD,National Statistical Office - Upplevd diskriminering,"Time period: refers only to occurrences in the last 12 months. Age: 16 years and over. Sample size: 576. Discrimination grounds (18): sex, old age, young age, family situation, looks (e.g. skin colour), national or ethnic origin, foreign name, language, religion or other beliefs, opinions/convictions, political engagement, participation in trade union activities, state of physical health, state of mental health, functional disability, sexual preferences, gender identity or gender expression, other.",,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",248,Aland Islands,2020,1.40,PERCENT,2020,BOTHSEX,ALLAGE,_T,_T,_T,ALLAREA,PHEALTH,C,G,A,ALA,Country,VC_VOV_GDSD,National Statistical Office - Upplevd diskriminering,"Time period: refers only to occurrences in the last 12 months. Age: 16 years and over. Sample size: 576. Discrimination grounds (18): sex, old age, young age, family situation, looks (e.g. skin colour), national or ethnic origin, foreign name, language, religion or other beliefs, opinions/convictions, political engagement, participation in trade union activities, state of physical health, state of mental health, functional disability, sexual preferences, gender identity or gender expression, other.",,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",248,Aland Islands,2020,1.40,PERCENT,2020,BOTHSEX,ALLAGE,_T,_T,_T,ALLAREA,OTHER,C,G,A,ALA,Country,VC_VOV_GDSD,National Statistical Office - Upplevd diskriminering,"Time period: refers only to occurrences in the last 12 months. Age: 16 years and over. Sample size: 576. Discrimination grounds (18): sex, old age, young age, family situation, looks (e.g. skin colour), national or ethnic origin, foreign name, language, religion or other beliefs, opinions/convictions, political engagement, participation in trade union activities, state of physical health, state of mental health, functional disability, sexual preferences, gender identity or gender expression, other.",,,,,,,,,,
"10.3.1, 16.b.1",3225,"Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)",248,Aland Islands,2020,1.20,PERCENT,2020,BOTHSEX,ALLAGE,_T,_T,_T,ALLAREA,MHEALTH,C,G,A,ALA,Country,VC_VOV_GDSD,National Statistical Office - Upplevd diskriminering,"Time period: refers only to occurrences in the last 12 months. Age: 16 years and over. Sample size: 576. Discrimination grounds (18): sex, old age, young age, family situation, looks (e.g. skin colour), national or ethnic origin, foreign name, language, religion or other beliefs, opinions/convictions, political engagement, participation in trade union activities, state of physical health, state of mental health, functional disability, sexual preferences, gender identity or gender expression, other.",,,,,,,,,,
