id,basePeriod,datasetCode,datetime,lowerBound,notes,recordSource,upperBound,value,missingReason,country,region,sex
1,,VC_IHR_PSRC,2015-01-01T00:00:00.000Z,,"ICD10 X85-Y09, Y87.1","Dissemination of Information by the SUS Department of Informatics, Brazil",,53.69,,Brazil,,Male
2,,VC_IHR_PSRC,2007-01-01T00:00:00.000Z,,"ICD10 X85-Y09, Y87.1","Dissemination of Information by the SUS Department of Informatics, Brazil",,47,,Brazil,,Male
3,,VC_IHR_PSRC,2000-01-01T00:00:00.000Z,,"ICD10 X85-Y09, Y87.1","Dissemination of Information by the SUS Department of Informatics, Brazil",,48.12,,Brazil,,Male
4,,VC_IHR_PSRC,2005-01-01T00:00:00.000Z,,"ICD10 X85-Y09, Y87.1","Dissemination of Information by the SUS Department of Informatics, Brazil",,47.7,,Brazil,,Male
5,,VC_IHR_PSRC,2002-01-01T00:00:00.000Z,,"ICD10 X85-Y09, Y87.1","Dissemination of Information by the SUS Department of Informatics, Brazil",,51.67,,Brazil,,Male
6,,VC_IHR_PSRC,2006-01-01T00:00:00.000Z,,"ICD10 X85-Y09, Y87.1","Dissemination of Information by the SUS Department of Informatics, Brazil",,48.73,,Brazil,,Male
7,,VC_IHR_PSRC,2008-01-01T00:00:00.000Z,,"ICD10 X85-Y09, Y87.1","Dissemination of Information by the SUS Department of Informatics, Brazil",,48.84,,Brazil,,Male
8,,VC_IHR_PSRC,2010-01-01T00:00:00.000Z,,"ICD10 X85-Y09, Y87.1","Dissemination of Information by the SUS Department of Informatics, Brazil",,49.85,,Brazil,,Male
9,,VC_IHR_PSRC,2013-01-01T00:00:00.000Z,,"ICD10 X85-Y09, Y87.1","Dissemination of Information by the SUS Department of Informatics, Brazil",,52.99,,Brazil,,Male
10,,VC_IHR_PSRC,2004-01-01T00:00:00.000Z,,"ICD10 X85-Y09, Y87.1","Dissemination of Information by the SUS Department of Informatics, Brazil",,49.15,,Brazil,,Male
11,,VC_IHR_PSRC,2016-01-01T00:00:00.000Z,,"ICD10 X85-Y09, Y87.1","Dissemination of Information by the SUS Department of Informatics, Brazil",,56.29,,Brazil,,Male
12,,VC_IHR_PSRC,2012-01-01T00:00:00.000Z,,"ICD10 X85-Y09, Y87.1","Dissemination of Information by the SUS Department of Informatics, Brazil",,53,,Brazil,,Male
13,,VC_IHR_PSRC,2017-01-01T00:00:00.000Z,,"ICD10 X85-Y09, Y87.1","Dissemination of Information by the SUS Department of Informatics, Brazil",,58.17,,Brazil,,Male
14,,VC_IHR_PSRC,2011-01-01T00:00:00.000Z,,"ICD10 X85-Y09, Y87.1","Dissemination of Information by the SUS Department of Informatics, Brazil",,49.33,,Brazil,,Male
15,,VC_IHR_PSRC,2009-01-01T00:00:00.000Z,,"ICD10 X85-Y09, Y87.1","Dissemination of Information by the SUS Department of Informatics, Brazil",,49.57,,Brazil,,Male
16,,VC_IHR_PSRC,2014-01-01T00:00:00.000Z,,"ICD10 X85-Y09, Y87.1","Dissemination of Information by the SUS Department of Informatics, Brazil",,55.43,,Brazil,,Male
17,,VC_IHR_PSRC,2001-01-01T00:00:00.000Z,,"ICD10 X85-Y09, Y87.1","Dissemination of Information by the SUS Department of Informatics, Brazil",,50.31,,Brazil,,Male
18,,VC_IHR_PSRC,2003-01-01T00:00:00.000Z,,"ICD10 X85-Y09, Y87.1","Dissemination of Information by the SUS Department of Informatics, Brazil",,52.55,,Brazil,,Male
19,,VC_IHR_PSRC,2016-01-01T00:00:00.000Z,,"ICD10 X85-Y09, Y87.1","Dissemination of Information by the SUS Department of Informatics, Brazil",,4.51,,Brazil,,Female
20,,VC_IHR_PSRC,2014-01-01T00:00:00.000Z,,"ICD10 X85-Y09, Y87.1","Dissemination of Information by the SUS Department of Informatics, Brazil",,4.77,,Brazil,,Female
21,,VC_IHR_PSRC,2015-01-01T00:00:00.000Z,,"ICD10 X85-Y09, Y87.1","Dissemination of Information by the SUS Department of Informatics, Brazil",,4.52,,Brazil,,Female
22,,VC_IHR_PSRC,2001-01-01T00:00:00.000Z,,"ICD10 X85-Y09, Y87.1","Dissemination of Information by the SUS Department of Informatics, Brazil",,4.34,,Brazil,,Female
23,,VC_IHR_PSRC,2010-01-01T00:00:00.000Z,,"ICD10 X85-Y09, Y87.1","Dissemination of Information by the SUS Department of Informatics, Brazil",,4.56,,Brazil,,Female
24,,VC_IHR_PSRC,2004-01-01T00:00:00.000Z,,"ICD10 X85-Y09, Y87.1","Dissemination of Information by the SUS Department of Informatics, Brazil",,4.16,,Brazil,,Female
25,,VC_IHR_PSRC,2017-01-01T00:00:00.000Z,,"ICD10 X85-Y09, Y87.1","Dissemination of Information by the SUS Department of Informatics, Brazil",,4.75,,Brazil,,Female
26,,VC_IHR_PSRC,2011-01-01T00:00:00.000Z,,"ICD10 X85-Y09, Y87.1","Dissemination of Information by the SUS Department of Informatics, Brazil",,4.58,,Brazil,,Female
27,,VC_IHR_PSRC,2005-01-01T00:00:00.000Z,,"ICD10 X85-Y09, Y87.1","Dissemination of Information by the SUS Department of Informatics, Brazil",,4.17,,Brazil,,Female
28,,VC_IHR_PSRC,2003-01-01T00:00:00.000Z,,"ICD10 X85-Y09, Y87.1","Dissemination of Information by the SUS Department of Informatics, Brazil",,4.33,,Brazil,,Female
29,,VC_IHR_PSRC,2008-01-01T00:00:00.000Z,,"ICD10 X85-Y09, Y87.1","Dissemination of Information by the SUS Department of Informatics, Brazil",,4.19,,Brazil,,Female
30,,VC_IHR_PSRC,2009-01-01T00:00:00.000Z,,"ICD10 X85-Y09, Y87.1","Dissemination of Information by the SUS Department of Informatics, Brazil",,4.4,,Brazil,,Female
31,,VC_IHR_PSRC,2013-01-01T00:00:00.000Z,,"ICD10 X85-Y09, Y87.1","Dissemination of Information by the SUS Department of Informatics, Brazil",,4.75,,Brazil,,Female
32,,VC_IHR_PSRC,2006-01-01T00:00:00.000Z,,"ICD10 X85-Y09, Y87.1","Dissemination of Information by the SUS Department of Informatics, Brazil",,4.27,,Brazil,,Female
33,,VC_IHR_PSRC,2007-01-01T00:00:00.000Z,,"ICD10 X85-Y09, Y87.1","Dissemination of Information by the SUS Department of Informatics, Brazil",,3.97,,Brazil,,Female
34,,VC_IHR_PSRC,2012-01-01T00:00:00.000Z,,"ICD10 X85-Y09, Y87.1","Dissemination of Information by the SUS Department of Informatics, Brazil",,4.74,,Brazil,,Female
35,,VC_IHR_PSRC,2000-01-01T00:00:00.000Z,,"ICD10 X85-Y09, Y87.1","Dissemination of Information by the SUS Department of Informatics, Brazil",,4.27,,Brazil,,Female
36,,VC_IHR_PSRC,2002-01-01T00:00:00.000Z,,"ICD10 X85-Y09, Y87.1","Dissemination of Information by the SUS Department of Informatics, Brazil",,4.31,,Brazil,,Female
37,,VC_IHR_PSRC,2004-01-01T00:00:00.000Z,,"ICD10 X85-Y09, Y87.1","Dissemination of Information by the SUS Department of Informatics, Brazil",,26.49,,Brazil,,Total
38,,VC_IHR_PSRC,2012-01-01T00:00:00.000Z,,"ICD10 X85-Y09, Y87.1","Dissemination of Information by the SUS Department of Informatics, Brazil",,28.64,,Brazil,,Total
39,,VC_IHR_PSRC,2002-01-01T00:00:00.000Z,,"ICD10 X85-Y09, Y87.1","Dissemination of Information by the SUS Department of Informatics, Brazil",,27.85,,Brazil,,Total
40,,VC_IHR_PSRC,2005-01-01T00:00:00.000Z,,"ICD10 X85-Y09, Y87.1","Dissemination of Information by the SUS Department of Informatics, Brazil",,25.77,,Brazil,,Total
41,,VC_IHR_PSRC,2007-01-01T00:00:00.000Z,,"ICD10 X85-Y09, Y87.1","Dissemination of Information by the SUS Department of Informatics, Brazil",,25.31,,Brazil,,Total
42,,VC_IHR_PSRC,2009-01-01T00:00:00.000Z,,"ICD10 X85-Y09, Y87.1","Dissemination of Information by the SUS Department of Informatics, Brazil",,26.79,,Brazil,,Total
43,,VC_IHR_PSRC,2013-01-01T00:00:00.000Z,,"ICD10 X85-Y09, Y87.1","Dissemination of Information by the SUS Department of Informatics, Brazil",,28.64,,Brazil,,Total
44,,VC_IHR_PSRC,2001-01-01T00:00:00.000Z,,"ICD10 X85-Y09, Y87.1","Dissemination of Information by the SUS Department of Informatics, Brazil",,27.2,,Brazil,,Total
45,,VC_IHR_PSRC,2008-01-01T00:00:00.000Z,,"ICD10 X85-Y09, Y87.1","Dissemination of Information by the SUS Department of Informatics, Brazil",,26.34,,Brazil,,Total
46,,VC_IHR_PSRC,2017-01-01T00:00:00.000Z,,"ICD10 X85-Y09, Y87.1","Dissemination of Information by the SUS Department of Informatics, Brazil",,31.16,,Brazil,,Total
47,,VC_IHR_PSRC,2016-01-01T00:00:00.000Z,,"ICD10 X85-Y09, Y87.1","Dissemination of Information by the SUS Department of Informatics, Brazil",,30.12,,Brazil,,Total
48,,VC_IHR_PSRC,2014-01-01T00:00:00.000Z,,"ICD10 X85-Y09, Y87.1","Dissemination of Information by the SUS Department of Informatics, Brazil",,29.85,,Brazil,,Total
49,,VC_IHR_PSRC,2003-01-01T00:00:00.000Z,,"ICD10 X85-Y09, Y87.1","Dissemination of Information by the SUS Department of Informatics, Brazil",,28.27,,Brazil,,Total
50,,VC_IHR_PSRC,2010-01-01T00:00:00.000Z,,"ICD10 X85-Y09, Y87.1","Dissemination of Information by the SUS Department of Informatics, Brazil",,26.99,,Brazil,,Total
51,,VC_IHR_PSRC,2000-01-01T00:00:00.000Z,,"ICD10 X85-Y09, Y87.1","Dissemination of Information by the SUS Department of Informatics, Brazil",,26.07,,Brazil,,Total
52,,VC_IHR_PSRC,2015-01-01T00:00:00.000Z,,"ICD10 X85-Y09, Y87.1","Dissemination of Information by the SUS Department of Informatics, Brazil",,28.85,,Brazil,,Total
53,,VC_IHR_PSRC,2011-01-01T00:00:00.000Z,,"ICD10 X85-Y09, Y87.1","Dissemination of Information by the SUS Department of Informatics, Brazil",,26.75,,Brazil,,Total
54,,VC_IHR_PSRC,2006-01-01T00:00:00.000Z,,"ICD10 X85-Y09, Y87.1","Dissemination of Information by the SUS Department of Informatics, Brazil",,26.34,,Brazil,,Total
55,,VC_IHR_PSRC,2019-01-01T00:00:00.000Z,,"Agresiones (X85-Y09, Y871)",Ministry of Health,,1.86,,Cuba,,Female
56,,VC_IHR_PSRC,2019-01-01T00:00:00.000Z,,"Agresiones (X85-Y09, Y871)",Ministry of Health,,7.12,,Cuba,,Male
57,,VC_IHR_PSRC,2019-01-01T00:00:00.000Z,,"Agresiones (X85-Y09, Y871)",Ministry of Health,,4.46,,Cuba,,Total
58,,VC_IHR_PSRC,2018-01-01T00:00:00.000Z,,"Agresiones (X85-Y09, Y871)",Ministry of Health,,6.89,,Cuba,,Male
59,,VC_IHR_PSRC,2017-01-01T00:00:00.000Z,,"Agresiones (X85-Y09, Y871)",Ministry of Health,,2.29,,Cuba,,Female
60,,VC_IHR_PSRC,2018-01-01T00:00:00.000Z,,"Agresiones (X85-Y09, Y871)",Ministry of Health,,1.91,,Cuba,,Female
61,,VC_IHR_PSRC,2017-01-01T00:00:00.000Z,,"Agresiones (X85-Y09, Y871)",Ministry of Health,,4.59,,Cuba,,Total
62,,VC_IHR_PSRC,2018-01-01T00:00:00.000Z,,"Agresiones (X85-Y09, Y871)",Ministry of Health,,4.37,,Cuba,,Total
63,,VC_IHR_PSRC,2017-01-01T00:00:00.000Z,,"Agresiones (X85-Y09, Y871)",Ministry of Health,,6.92,,Cuba,,Male
64,,VC_IHR_PSRC,2023-01-01T00:00:00.000Z,,UNODC Estimate based on National Surveys on Quality and Integrity of Public Services (2023),United Nations Office on Drugs and Crime (UNODC) and National Statistical Institute,,24.4,,Nigeria,,Male
65,,VC_IHR_PSRC,2022-01-01T00:00:00.000Z,,Computed based on SAPS data.,Data based on an a statistical modification of an original value from the National Police,,12.2,,South Africa,,Female
66,,VC_IHR_PSRC,2021-01-01T00:00:00.000Z,,Computed based on SAPS data.,Data based on an a statistical modification of an original value from the National Police,,10.28,,South Africa,,Female
67,,VC_IHR_PSRC,2023-01-01T00:00:00.000Z,,UNODC Estimate based on National Surveys on Quality and Integrity of Public Services (2023),United Nations Office on Drugs and Crime (UNODC) and National Statistical Institute,,6.53,,Nigeria,,Female
68,,VC_IHR_PSRC,2023-01-01T00:00:00.000Z,,UNODC adjustment,National Crime Record Board,,2.72,,India,,Total
69,,VC_IHR_PSRC,2021-01-01T00:00:00.000Z,,Computed based on SAPS data.,Data based on an a statistical modification of an original value from the National Police,,69.72,,South Africa,,Male
70,,VC_IHR_PSRC,2023-01-01T00:00:00.000Z,,UNODC Estimate based on National Surveys on Quality and Integrity of Public Services (2023),United Nations Office on Drugs and Crime (UNODC) and National Statistical Institute,,15.75,,Nigeria,,Total
71,,VC_IHR_PSRC,2019-01-01T00:00:00.000Z,,UNODC estimate based on National Surveys on Quality and Integrity of Public Services 2019. The value refers to the estimated average yearly number of homicide victims for the period 2017-2019.,Data based on original research by UNODC,,21.1,,Nigeria,,Total
72,,VC_IHR_PSRC,2023-01-01T00:00:00.000Z,,UNODC adjustment,National Crime Record Board,,3.14,,India,,Male
73,,VC_IHR_PSRC,2016-01-01T00:00:00.000Z,,UNODC estimate based on National Surveys on Quality and Integrity of Public Services 2016. The value refers to the estimated average yearly number of homicide victims for the period 2014-2016.,Data based on original research by UNODC,,32.44,,Nigeria,,Total
74,,VC_IHR_PSRC,2022-01-01T00:00:00.000Z,,Computed based on SAPS data.,Data based on an a statistical modification of an original value from the National Police,,73.37,,South Africa,,Male
75,,VC_IHR_PSRC,2023-01-01T00:00:00.000Z,,UNODC adjustment,National Crime Record Board,,2.26,,India,,Female
76,,VC_IHR_PSRC,2023-01-01T00:00:00.000Z,,Grande Grupo CID10: X85-Y09 Agress\u00f5es,"Dissemination of Information by the SUS Department of Informatics, Brazil",,37.97,,Brazil,,Male
77,,VC_IHR_PSRC,2021-01-01T00:00:00.000Z,,Grande Grupo CID10: X85-Y09 Agress\u00f5es,"Dissemination of Information by the SUS Department of Informatics, Brazil",,40.34,,Brazil,,Male
78,,VC_IHR_PSRC,2023-01-01T00:00:00.000Z,,Grande Grupo CID10: X85-Y09 Agress\u00f5es,"Dissemination of Information by the SUS Department of Informatics, Brazil",,20.58,,Brazil,,Total
79,,VC_IHR_PSRC,2022-01-01T00:00:00.000Z,,Grande Grupo CID10: X85-Y09 Agress\u00f5es,"Dissemination of Information by the SUS Department of Informatics, Brazil",,39.12,,Brazil,,Male
80,,VC_IHR_PSRC,2021-01-01T00:00:00.000Z,,Grande Grupo CID10: X85-Y09 Agress\u00f5es,"Dissemination of Information by the SUS Department of Informatics, Brazil",,3.62,,Brazil,,Female
81,,VC_IHR_PSRC,2022-01-01T00:00:00.000Z,,Grande Grupo CID10: X85-Y09 Agress\u00f5es,"Dissemination of Information by the SUS Department of Informatics, Brazil",,3.55,,Brazil,,Female
82,,VC_IHR_PSRC,2023-01-01T00:00:00.000Z,,Grande Grupo CID10: X85-Y09 Agress\u00f5es,"Dissemination of Information by the SUS Department of Informatics, Brazil",,3.62,,Brazil,,Female
83,,VC_IHR_PSRC,2022-01-01T00:00:00.000Z,,Grande Grupo CID10: X85-Y09 Agress\u00f5es. Includes 75 victims with sex unknown.,"Dissemination of Information by the SUS Department of Informatics, Brazil",,21.1,,Brazil,,Total
84,,VC_IHR_PSRC,2023-01-01T00:00:00.000Z,,"includes homicides, deaths by police intervention",UNODC Research,,13.81,,Venezuela (Bolivarian Republic of),,Total
85,,VC_IHR_PSRC,2020-01-01T00:00:00.000Z,,"ource: Observatorio Venezolano de Violencia. Data includes the categories \""homicidios\"" and \""resistencia a la autoridad\""",UNODC Research,,29.48,,Venezuela (Bolivarian Republic of),,Total
86,,VC_IHR_PSRC,2019-01-01T00:00:00.000Z,,Source: Ministry of Justice,UNODC Research,,4.81,,Tunisia,,Total
87,,VC_IHR_PSRC,2020-01-01T00:00:00.000Z,,Source: Ministry of Justice,UNODC Research,,1.9,,Tunisia,,Female
88,,VC_IHR_PSRC,2019-01-01T00:00:00.000Z,,Source: Ministry of Justice,UNODC Research,,7.95,,Tunisia,,Male
89,,VC_IHR_PSRC,2020-01-01T00:00:00.000Z,,Source: Ministry of Justice,UNODC Research,,4.69,,Tunisia,,Total
90,,VC_IHR_PSRC,2019-01-01T00:00:00.000Z,,"ource: Observatorio Venezolano de Violencia. Data includes the categories \""homicidios\"" and \""resistencia a la autoridad\""",UNODC Research,,41.03,,Venezuela (Bolivarian Republic of),,Total
91,,VC_IHR_PSRC,2020-01-01T00:00:00.000Z,,Source: Ministry of Justice,UNODC Research,,7.53,,Tunisia,,Male
92,,VC_IHR_PSRC,2021-01-01T00:00:00.000Z,,"ource: Observatorio Venezolano de Violencia. Data includes the categories \""homicidios\"" and \""resistencia a la autoridad\""",UNODC Research,,19.28,,Venezuela (Bolivarian Republic of),,Total
93,,VC_IHR_PSRC,2019-01-01T00:00:00.000Z,,Source: Ministry of Justice,UNODC Research,,1.72,,Tunisia,,Female
94,,VC_IHR_PSRC,2019-01-01T00:00:00.000Z,,"number of offences, interntional homicide",National Statistical Office,,0.52,,China,,Total
95,,VC_IHR_PSRC,2024-01-01T00:00:00.000Z,,"Data refers to victims of \""Murders\""; This concept covers unintentional homicides (\""manslaughter\""), but the report details that this accounts for only 1% of murder cases in 2024. Additionally, the report distinguishes between the number of reported cases (",National Statistical Office,,3.3,,United Republic of Tanzania,,Total
96,,VC_IHR_PSRC,2022-01-01T00:00:00.000Z,,Data revised by national authorities in response to the Pre-Publication of Sustainable Development Goals indicators (SDG-PrePub),National Statistical Office,,0.81,,Saudi Arabia,,Total
97,,VC_IHR_PSRC,2024-01-01T00:00:00.000Z,,"Data refers to victims of \""Murders\""; This concept covers unintentional homicides (\""manslaughter\""), but the report details that this accounts for only 1% of murder cases in 2024. Additionally, the report distinguishes between the number of reported cases (",National Statistical Office,,1.68,,United Republic of Tanzania,,Female
98,,VC_IHR_PSRC,2020-01-01T00:00:00.000Z,,"number of offences, interntional homicide",National Statistical Office,,0.5,,China,,Total
99,,VC_IHR_PSRC,2020-01-01T00:00:00.000Z,,"Murder, Manslaughter and Infanticide",National Statistical Office,,7.48,,Seychelles,,Total
100,,VC_IHR_PSRC,2023-01-01T00:00:00.000Z,,Data revised by national authorities in response to the Pre-Publication of Sustainable Development Goals indicators (SDG-PrePub),National Statistical Office,,0.62,,Saudi Arabia,,Total
101,,VC_IHR_PSRC,2024-01-01T00:00:00.000Z,,"Data refers to victims of \""Murders\""; This concept covers unintentional homicides (\""manslaughter\""), but the report details that this accounts for only 1% of murder cases in 2024. Additionally, the report distinguishes between the number of reported cases (",National Statistical Office,,4.95,,United Republic of Tanzania,,Male
102,,VC_IHR_PSRC,2024-01-01T00:00:00.000Z,,Data revised by national authorities in response to the Pre-Publication of Sustainable Development Goals indicators (SDG-PrePub),National Statistical Office,,0.8,,Saudi Arabia,,Total
103,,VC_IHR_PSRC,2021-01-01T00:00:00.000Z,,"Murder, Manslaughter and Infanticide",National Statistical Office,,4.07,,Seychelles,,Total
104,,VC_IHR_PSRC,2020-01-01T00:00:00.000Z,,murder cases,National Police,,2.13,,Bangladesh,,Total
105,,VC_IHR_PSRC,2021-01-01T00:00:00.000Z,,murder cases,National Police,,1.92,,Bangladesh,,Total
106,,VC_IHR_PSRC,2018-01-01T00:00:00.000Z,,Refers to financial year April-March,National Police,,64.26,,South Africa,,Male
107,,VC_IHR_PSRC,2018-01-01T00:00:00.000Z,,Refers to financial year April-March,National Police,,35.87,,South Africa,,Total
108,,VC_IHR_PSRC,2021-01-01T00:00:00.000Z,,SAPS Crime Stats April 20 - Mar 22,National Police,,40.94,,South Africa,,Total
109,,VC_IHR_PSRC,2022-01-01T00:00:00.000Z,,SAPS Crime Stats April 20 - Mar 23,National Police,,43.72,,South Africa,,Total
110,,VC_IHR_PSRC,2022-01-01T00:00:00.000Z,,murder cases,National Police,,1.85,,Bangladesh,,Total
111,,VC_IHR_PSRC,2023-01-01T00:00:00.000Z,,murder cases,National Police,,1.76,,Bangladesh,,Total
112,,VC_IHR_PSRC,2019-01-01T00:00:00.000Z,,Refers to financial year April-March,National Police,,8.78,,South Africa,,Female
113,,VC_IHR_PSRC,2019-01-01T00:00:00.000Z,,Refers to financial year April-March,National Police,,64.48,,South Africa,,Male
114,,VC_IHR_PSRC,2020-01-01T00:00:00.000Z,,Refers to financial year April-March,National Police,,32.98,,South Africa,,Total
115,,VC_IHR_PSRC,2018-01-01T00:00:00.000Z,,Refers to financial year April-March,National Police,,9.17,,South Africa,,Female
116,,VC_IHR_PSRC,2002-01-01T00:00:00.000Z,,"Number of victims of intentional homicide\"" refer to \""Murder & Manslaughter",Data revised by national authorities in response to the Pre-Publication of Sustainable Development Goals indicators (SDG-PrePub),,1.01,,"China, Hong Kong Special Administrative Region",,Total
117,,VC_IHR_PSRC,2003-01-01T00:00:00.000Z,,"Number of victims of intentional homicide\"" refer to \""Murder & Manslaughter",Data revised by national authorities in response to the Pre-Publication of Sustainable Development Goals indicators (SDG-PrePub),,0.76,,"China, Hong Kong Special Administrative Region",,Total
118,,VC_IHR_PSRC,2015-01-01T00:00:00.000Z,,"Number of victims of intentional homicide\"" refer to \""Murder & Manslaughter",Data revised by national authorities in response to the Pre-Publication of Sustainable Development Goals indicators (SDG-PrePub),,0.22,,"China, Hong Kong Special Administrative Region",,Female
119,,VC_IHR_PSRC,2001-01-01T00:00:00.000Z,,"Number of victims of intentional homicide\"" refer to \""Murder & Manslaughter",Data revised by national authorities in response to the Pre-Publication of Sustainable Development Goals indicators (SDG-PrePub),,0.97,,"China, Hong Kong Special Administrative Region",,Total
120,,VC_IHR_PSRC,2003-01-01T00:00:00.000Z,,"Number of victims of intentional homicide\"" refer to \""Murder & Manslaughter",Data revised by national authorities in response to the Pre-Publication of Sustainable Development Goals indicators (SDG-PrePub),,0.62,,"China, Hong Kong Special Administrative Region",,Female
121,,VC_IHR_PSRC,2015-01-01T00:00:00.000Z,,"Number of victims of intentional homicide\"" refer to \""Murder & Manslaughter",Data revised by national authorities in response to the Pre-Publication of Sustainable Development Goals indicators (SDG-PrePub),,0.39,,"China, Hong Kong Special Administrative Region",,Male
