id,basePeriod,datasetCode,datetime,lowerBound,notes,recordSource,upperBound,value,missingReason,country,region,sex
1,,VC_IHR_PSRCN,1990-01-01T00:00:00.000Z,,"Number of victims of intentional homicide\"" refer to \""Murder & Manslaughter",Government,,137,,"China, Hong Kong Special Administrative Region",,Total
2,,VC_IHR_PSRCN,1997-01-01T00:00:00.000Z,,"Number of victims of intentional homicide\"" refer to \""Murder & Manslaughter",Government,,102,,"China, Hong Kong Special Administrative Region",,Total
3,,VC_IHR_PSRCN,1993-01-01T00:00:00.000Z,,"Number of victims of intentional homicide\"" refer to \""Murder & Manslaughter",Government,,86,,"China, Hong Kong Special Administrative Region",,Total
4,,VC_IHR_PSRCN,1995-01-01T00:00:00.000Z,,"Number of victims of intentional homicide\"" refer to \""Murder & Manslaughter",Government,,73,,"China, Hong Kong Special Administrative Region",,Total
5,,VC_IHR_PSRCN,1998-01-01T00:00:00.000Z,,"Number of victims of intentional homicide\"" refer to \""Murder & Manslaughter",Government,,64,,"China, Hong Kong Special Administrative Region",,Total
6,,VC_IHR_PSRCN,1996-01-01T00:00:00.000Z,,"Number of victims of intentional homicide\"" refer to \""Murder & Manslaughter",Government,,77,,"China, Hong Kong Special Administrative Region",,Total
7,,VC_IHR_PSRCN,1991-01-01T00:00:00.000Z,,"Number of victims of intentional homicide\"" refer to \""Murder & Manslaughter",Government,,92,,"China, Hong Kong Special Administrative Region",,Total
8,,VC_IHR_PSRCN,1999-01-01T00:00:00.000Z,,"Number of victims of intentional homicide\"" refer to \""Murder & Manslaughter",Government,,63,,"China, Hong Kong Special Administrative Region",,Total
9,,VC_IHR_PSRCN,1992-01-01T00:00:00.000Z,,"Number of victims of intentional homicide\"" refer to \""Murder & Manslaughter",Government,,108,,"China, Hong Kong Special Administrative Region",,Total
10,,VC_IHR_PSRCN,1994-01-01T00:00:00.000Z,,"Number of victims of intentional homicide\"" refer to \""Murder & Manslaughter",Government,,96,,"China, Hong Kong Special Administrative Region",,Total
11,,VC_IHR_PSRCN,2019-01-01T00:00:00.000Z,,"number of offences, interntional homicide",National Statistical Office,,7379,,China,,Total
