"Country or Area","Region Name","year","F","M"
"United Republic of Tanzania","Africa",2024,1.68,4.95
"Canada","Americas",2024,1.2,2.74
"Paraguay","Americas",2024,1.71,12.03
"Japan","Asia",2024,0.25,0.2
"Israel","Asia",2024,0.74,5.28
"Argentina","Americas",2024,1.35,6.57
"Germany","Europe",2024,0.79,1.06
"Romania","Europe",2024,0.66,1.61
"Costa Rica","Americas",2024,3.04,31.52
"Chile","Americas",2024,1.36,10.88
"Colombia","Americas",2024,3.35,45.89
"Slovakia","Europe",2024,0.89,1.15
"Fiji","Oceania",2024,1.5,3.04
"Guatemala","Americas",2024,6.25,38.95
"Portugal","Europe",2024,0.46,NA
"Uganda","Africa",2024,2.81,14.93
"Lesotho","Africa",2024,6.09,39.16
"Haiti","Americas",2024,14.91,113.73
"Italy","Europe",2024,0.38,0.73
"Eswatini","Africa",2024,4.11,20.32
"Brazil","Americas",2024,3.29,34.6
"Morocco","Africa",2024,0.47,2.85
"Gibraltar","Europe",2024,0,0
"Russian Federation","Europe",2024,2.64,13.8
"Ecuador","Americas",2024,5.73,71.97
"Egypt","Africa",2024,0.57,NA
"Guyana","Americas",2024,3.28,25.46
"Philippines","Asia",2024,1.16,7.48
"China, Macao Special Administrative Region","Asia",2024,0,0.3
"Türkiye","Asia",2024,1.1,3.73
"Algeria","Africa",2024,0.47,2.26
"France","Europe",2024,0.7,1.99
"Mauritius","Africa",2024,1.41,3.94
"Bulgaria","Europe",2024,0.46,1.93
"Singapore","Asia",2024,0.21,0.13
"Malta","Europe",2024,0.77,1.07
"Dominican Republic","Americas",2024,2.19,16.12
"Sweden","Europe",2024,0.44,1.29
"Bolivia (Plurinational State of)","Americas",2024,2.28,4.65
"Norway","Europe",2024,0.76,0.64
"Latvia","Europe",2024,2.29,3.11
"Australia","Oceania",2024,0.66,1.2
"Saint Kitts and Nevis","Americas",2024,12.29,111.49
"Poland","Europe",2024,0.44,0.91
"Armenia","Asia",2024,0.75,3.84
"North Macedonia","Europe",2024,0.53,2.03
"Kenya","Africa",2024,2.59,6.74
"Liechtenstein","Europe",2024,0,5.05
"Puerto Rico","Americas",2024,3.26,28.63
"Hungary","Europe",2024,0.5,0.93
"Netherlands (Kingdom of the)","Europe",2024,0.48,0.84
"Iceland","Europe",2024,2.6,1.49
"Ireland","Europe",2024,0.23,1.19
"Montenegro","Europe",2024,1.51,3.58
"Antigua and Barbuda","Americas",2024,4.07,22.4
"Suriname","Americas",2024,2.2,6.31
"Greece","Europe",2024,0.48,1.23
"Azerbaijan","Asia",2024,1.23,2.78
"Barbados","Americas",2024,0.68,14.77
"Serbia","Europe",2024,0.54,1.28
"Estonia","Europe",2024,0.7,2.94
"Honduras","Americas",2024,4.45,43.05
"Mongolia","Asia",2024,2.64,8.66
"Trinidad and Tobago","Americas",2024,6.03,77.81
"Holy See","Europe",2024,0,0
"Croatia","Europe",2024,0.95,1.07
"Spain","Europe",2024,0.46,1.01
"Dominica","Americas",2024,9.06,27.19
"Jamaica","Americas",2024,5.64,75.86
"Bahamas","Americas",2024,4.77,57.41
"Bosnia and Herzegovina","Europe",2024,0.72,1.26
"Lithuania","Europe",2024,1.46,4
"Mexico","Americas",2024,5.55,46.4
"Saint Lucia","Americas",2024,3.3,78.88
"Czechia","Europe",2024,0.62,0.6
"Uruguay","Americas",2024,2.64,20.46
"Austria","Europe",2024,0.93,1.05
"Republic of Moldova","Europe",2024,1.46,2.65
"Malaysia","Asia",2024,0.32,1.02
"Albania","Europe",2024,0.43,3.12
"Cyprus","Asia",2024,0.74,1.17
"Republic of Korea","Asia",2024,0.49,0.49
"Belarus","Europe",2024,1.03,2.11
"Switzerland","Europe",2024,0.51,0.5
"Jordan","Asia",2024,0.46,1.19
"Denmark","Europe",2024,0.37,1.31
"Slovenia","Europe",2024,0.47,0.94
