"Location","FactValueNumeric","Region Name"
"Lesotho",51.48,"Africa"
"Central African Republic",52.31,"Africa"
"Somalia",53.95,"Africa"
"Eswatini",54.59,"Africa"
"Mozambique",57.66,"Africa"
"Zimbabwe",58.48,"Africa"
"South Sudan",58.57,"Africa"
"Guinea-Bissau",58.63,"Africa"
"Chad",59.09,"Africa"
"Afghanistan",59.13,"Asia"
"Niger",59.97,"Africa"
"Namibia",60.36,"Africa"
"Kiribati",60.87,"Oceania"
"Sierra Leone",61.02,"Africa"
"Zambia",60.97,"Africa"
"Botswana",61.23,"Africa"
"Guinea",61.26,"Africa"
"South Africa",61.5,"Africa"
"Equatorial Guinea",61.61,"Africa"
"Democratic Republic of the Congo",61.63,"Africa"
"Mali",61.67,"Africa"
"Cameroon",61.77,"Africa"
"Angola",62.13,"Africa"
"Burkina Faso",62.3,"Africa"
"Haiti",62.46,"Americas"
"Malawi",62.49,"Africa"
"Madagascar",62.93,"Africa"
"Congo",63.17,"Africa"
"Nigeria",63.4,"Africa"
"Liberia",63.46,"Africa"
"Cote d'Ivoire",63.52,"Africa"
"Eritrea",63.57,"Africa"
"Togo",63.86,"Africa"
"Benin",64.01,"Africa"
"Burundi",64.01,"Africa"
"Gambia",64.21,"Africa"
"Solomon Islands",64.79,"Oceania"
"Djibouti",64.87,"Africa"
"Gabon",65.09,"Africa"
"Bolivia (Plurinational State of)",65.41,"Americas"
"Papua New Guinea",65.49,"Oceania"
"Fiji",65.5,"Oceania"
"Micronesia (Federated States of)",65.71,"Oceania"
"Yemen",65.76,"Asia"
"Pakistan",65.99,"Asia"
"Uganda",65.99,"Africa"
"Guyana",66.08,"Americas"
"Ghana",66.1,"Africa"
"Vanuatu",66.35,"Oceania"
"Philippines",66.41,"Asia"
"United Republic of Tanzania",66.81,"Africa"
"Kenya",66.76,"Africa"
"India",67.31,"Asia"
"Comoros",67.5,"Africa"
"Rwanda",67.54,"Africa"
"Sudan",67.59,"Africa"
"Myanmar",67.85,"Asia"
"Ethiopia",67.84,"Africa"
"Senegal",67.79,"Africa"
"Timor-Leste",68,"Asia"
"Lao People's Democratic Republic",68.23,"Asia"
"Indonesia",68.26,"Asia"
"Guatemala",68.7,"Americas"
"Mauritania",68.87,"Africa"
"Cambodia",68.92,"Asia"
"Honduras",68.96,"Americas"
"Turkmenistan",69.12,"Asia"
"Egypt",69.11,"Africa"
"Republic of Moldova",69.56,"Europe"
"Suriname",69.78,"Americas"
"Nepal",70.05,"Asia"
"Russian Federation",70.02,"Europe"
"Jamaica",70.14,"Americas"
"Mongolia",70.1,"Asia"
"Paraguay",70.27,"Americas"
"Samoa",70.27,"Oceania"
"Kazakhstan",70.28,"Asia"
"Bahamas",70.43,"Americas"
"Mexico",70.83,"Americas"
"Ukraine",70.91,"Europe"
"Saint Lucia",71.11,"Americas"
"Venezuela (Bolivarian Republic of)",71.22,"Americas"
"Sao Tome and Principe",71.18,"Africa"
"Georgia",71.24,"Asia"
"Bulgaria",71.31,"Europe"
"Iraq",71.47,"Asia"
"Trinidad and Tobago",71.71,"Americas"
"Peru",71.67,"Americas"
"El Salvador",71.67,"Americas"
"Tajikistan",71.81,"Asia"
"Libya",72.18,"Africa"
"Kyrgyzstan",72.19,"Asia"
"Uzbekistan",72.19,"Asia"
"Syrian Arab Republic",72.44,"Asia"
"Brazil",72.39,"Americas"
"Oman",72.48,"Asia"
