"","region_of_origin","region_of_asylum","Year","num_refugees"
"1","Africa","Africa",2020,6727386
"2","Africa","Africa",2021,7138041
"3","Africa","Africa",2022,7188349
"4","Africa","Africa",2023,7999302
"5","Africa","Africa",2024,8986340
"6","Africa","Africa",2025,10293860
"7","Africa","Americas",2020,99984
"8","Africa","Americas",2021,103348
"9","Africa","Americas",2022,81593
"10","Africa","Americas",2023,82336
"11","Africa","Americas",2024,106605
"12","Africa","Americas",2025,121056
"13","Africa","Asia",2020,175111
"14","Africa","Asia",2021,99262
"15","Africa","Asia",2022,87342
"16","Africa","Asia",2023,67975
"17","Africa","Asia",2024,60683
"18","Africa","Asia",2025,63072
"19","Africa","Europe",2020,583678
"20","Africa","Europe",2021,655805
"21","Africa","Europe",2022,667866
"22","Africa","Europe",2023,734425
"23","Africa","Europe",2024,785605
"24","Africa","Europe",2025,842209
"25","Africa","Oceania",2020,5767
"26","Africa","Oceania",2021,5542
"27","Africa","Oceania",2022,5547
"28","Africa","Oceania",2023,1967
"29","Africa","Oceania",2024,2159
"30","Africa","Oceania",2025,1903
"31","Americas","Africa",2020,5
"32","Americas","Africa",2021,5
"33","Americas","Africa",2022,5
"34","Americas","Africa",2023,5
"35","Americas","Africa",2024,5
"36","Americas","Africa",2025,5
"37","Americas","Americas",2020,438013
"38","Americas","Americas",2021,406049
"39","Americas","Americas",2022,440215
"40","Americas","Americas",2023,670781
"41","Americas","Americas",2024,723366
"42","Americas","Americas",2025,763604
"43","Americas","Asia",2020,12
"44","Americas","Asia",2021,17
"45","Americas","Asia",2022,26
"46","Americas","Asia",2023,125
"47","Americas","Asia",2024,171
"48","Americas","Asia",2025,200
"49","Americas","Europe",2020,100369
"50","Americas","Europe",2021,123611
"51","Americas","Europe",2022,150189
"52","Americas","Europe",2023,189978
"53","Americas","Europe",2024,209411
"54","Americas","Europe",2025,256522
"55","Americas","Oceania",2020,365
"56","Americas","Oceania",2021,352
"57","Americas","Oceania",2022,492
"58","Americas","Oceania",2023,625
"59","Americas","Oceania",2024,286
"60","Americas","Oceania",2025,265
"61","Asia","Africa",2020,335005
"62","Asia","Africa",2021,345020
"63","Asia","Africa",2022,353779
"64","Asia","Africa",2023,226841
"65","Asia","Africa",2024,205075
"66","Asia","Africa",2025,172759
"67","Asia","Americas",2020,182451
"68","Asia","Americas",2021,185041
"69","Asia","Americas",2022,174250
"70","Asia","Americas",2023,224464
"71","Asia","Americas",2024,273885
"72","Asia","Americas",2025,288190
"73","Asia","Asia",2020,9575459
"74","Asia","Asia",2021,9742957
"75","Asia","Asia",2022,12130055
"76","Asia","Asia",2023,12489844
"77","Asia","Asia",2024,11445371
"78","Asia","Asia",2025,7504297
"79","Asia","Europe",2020,1950257
"80","Asia","Europe",2021,2102977
"81","Asia","Europe",2022,2060168
"82","Asia","Europe",2023,2518221
"83","Asia","Europe",2024,2544932
"84","Asia","Europe",2025,2502789
"85","Asia","Oceania",2020,58233
"86","Asia","Oceania",2021,57152
"87","Asia","Oceania",2022,51835
"88","Asia","Oceania",2023,32595
"89","Asia","Oceania",2024,32599
"90","Asia","Oceania",2025,32285
"91","Europe","Africa",2020,33
"92","Europe","Africa",2021,40
"93","Europe","Africa",2022,44
"94","Europe","Africa",2023,39
"95","Europe","Africa",2024,39
"96","Europe","Africa",2025,37
"97","Europe","Americas",2020,26086
"98","Europe","Americas",2021,26080
"99","Europe","Americas",2022,96545
"100","Europe","Americas",2023,101059
"101","Europe","Americas",2024,106361
"102","Europe","Americas",2025,207692
"103","Europe","Asia",2020,1546
"104","Europe","Asia",2021,1486
"105","Europe","Asia",2022,49710
"106","Europe","Asia",2023,54705
"107","Europe","Asia",2024,63186
"108","Europe","Asia",2025,71581
"109","Europe","Europe",2020,162899
"110","Europe","Europe",2021,176072
"111","Europe","Europe",2022,5733942
"112","Europe","Europe",2023,6002421
"113","Europe","Europe",2024,5182917
"114","Europe","Europe",2025,5171691
"115","Europe","Oceania",2020,216
"116","Europe","Oceania",2021,198
"117","Europe","Oceania",2022,1719
"118","Europe","Oceania",2023,7693
"119","Europe","Oceania",2024,270
"120","Europe","Oceania",2025,4500
"121","Oceania","Africa",2020,7
"122","Oceania","Africa",2021,7
"123","Oceania","Africa",2022,6
"124","Oceania","Africa",2023,6
"125","Oceania","Africa",2024,6
"126","Oceania","Africa",2025,5
"127","Oceania","Americas",2020,174
"128","Oceania","Americas",2021,137
"129","Oceania","Americas",2022,106
"130","Oceania","Americas",2023,92
"131","Oceania","Americas",2024,124
"132","Oceania","Americas",2025,123
