"name","region_name","year","M","F"
"United Republic of Tanzania","Africa",2024,4.95,1.68
"Costa Rica","Americas",2024,31.52,3.04
"Chile","Americas",2024,10.88,1.36
"Colombia","Americas",2024,45.89,3.35
"Canada","Americas",2024,2.74,1.2
"Paraguay","Americas",2024,12.03,1.71
"Japan","Asia",2024,0.2,0.25
"Israel","Asia",2024,5.28,0.74
"Argentina","Americas",2024,6.57,1.35
"Germany","Europe",2024,1.06,0.79
"Romania","Europe",2024,1.61,0.66
"Fiji","Oceania",2024,3.04,1.5
"Guatemala","Americas",2024,38.95,6.25
"Slovakia","Europe",2024,1.15,0.89
"Portugal","Europe",2024,NA,0.46
"Lesotho","Africa",2024,39.16,6.09
"Uganda","Africa",2024,14.93,2.81
"Haiti","Americas",2024,113.73,14.91
"Eswatini","Africa",2024,20.32,4.11
"Italy","Europe",2024,0.73,0.38
"Russian Federation","Europe",2024,13.8,2.64
"Ecuador","Americas",2024,71.97,5.73
"Egypt","Africa",2024,NA,0.57
"Morocco","Africa",2024,2.85,0.47
"Brazil","Americas",2024,34.6,3.29
"Gibraltar","Europe",2024,0,0
"Antigua and Barbuda","Americas",2024,22.4,4.07
"Suriname","Americas",2024,6.31,2.2
"Greece","Europe",2024,1.23,0.48
"Azerbaijan","Asia",2024,2.78,1.23
"Barbados","Americas",2024,14.77,0.68
"Serbia","Europe",2024,1.28,0.54
"Estonia","Europe",2024,2.94,0.7
"Honduras","Americas",2024,43.05,4.45
"Mongolia","Asia",2024,8.66,2.64
"Trinidad and Tobago","Americas",2024,77.81,6.03
"Holy See","Europe",2024,0,0
"Croatia","Europe",2024,1.07,0.95
"Spain","Europe",2024,1.01,0.46
"Dominica","Americas",2024,27.19,9.06
"Jamaica","Americas",2024,75.86,5.64
"Bahamas","Americas",2024,57.41,4.77
"Bosnia and Herzegovina","Europe",2024,1.26,0.72
"Lithuania","Europe",2024,4,1.46
"Mexico","Americas",2024,46.4,5.55
"Saint Lucia","Americas",2024,78.88,3.3
"Czechia","Europe",2024,0.6,0.62
"Uruguay","Americas",2024,20.46,2.64
"Austria","Europe",2024,1.05,0.93
"Republic of Moldova","Europe",2024,2.65,1.46
"Malaysia","Asia",2024,1.02,0.32
"Albania","Europe",2024,3.12,0.43
"Cyprus","Asia",2024,1.17,0.74
"Republic of Korea","Asia",2024,0.49,0.49
"Belarus","Europe",2024,2.11,1.03
"Switzerland","Europe",2024,0.5,0.51
"Jordan","Asia",2024,1.19,0.46
"Denmark","Europe",2024,1.31,0.37
"Slovenia","Europe",2024,0.94,0.47
"Guyana","Americas",2024,25.46,3.28
"Philippines","Asia",2024,7.48,1.16
"China, Macao Special Administrative Region","Asia",2024,0.3,0
"Türkiye","Asia",2024,3.73,1.1
"Algeria","Africa",2024,2.26,0.47
"France","Europe",2024,1.99,0.7
"Mauritius","Africa",2024,3.94,1.41
"Bulgaria","Europe",2024,1.93,0.46
"Singapore","Asia",2024,0.13,0.21
"Malta","Europe",2024,1.07,0.77
"Dominican Republic","Americas",2024,16.12,2.19
"Sweden","Europe",2024,1.29,0.44
"Bolivia (Plurinational State of)","Americas",2024,4.65,2.28
"Norway","Europe",2024,0.64,0.76
"Latvia","Europe",2024,3.11,2.29
"Australia","Oceania",2024,1.2,0.66
"Saint Kitts and Nevis","Americas",2024,111.49,12.29
"Poland","Europe",2024,0.91,0.44
"Armenia","Asia",2024,3.84,0.75
"North Macedonia","Europe",2024,2.03,0.53
"Kenya","Africa",2024,6.74,2.59
"Liechtenstein","Europe",2024,5.05,0
"Puerto Rico","Americas",2024,28.63,3.26
"Hungary","Europe",2024,0.93,0.5
"Netherlands (Kingdom of the)","Europe",2024,0.84,0.48
"Iceland","Europe",2024,1.49,2.6
"Ireland","Europe",2024,1.19,0.23
"Montenegro","Europe",2024,3.58,1.51
