"Value","name","Iso3","Location","y","y_jitter"
66.7709,"Asia","AFG","Afghanistan",3,2.97126711858436
80.1324,"Europe","ALB","Albania",4,3.98323436213347
76.8904,"Africa","DZA","Algeria",1,1.00047295804446
73.2547,"Oceania","ASM","American Samoa",5,5.12673169265812
84.4608,"Europe","AND","Andorra",4,4.04508980736136
65.1692,"Africa","AGO","Angola",1,1.07674536667764
78.1124,"Americas","ATG","Antigua and Barbuda",2,1.95970956934616
74.8882,"Asia","AZE","Azerbaijan",3,3.1644523057621
77.8291,"Americas","ARG","Argentina",2,2.05416784831323
84.3414,"Oceania","AUS","Australia",5,4.98082875895004
82.4538,"Europe","AUT","Austria",4,3.89943293699374
75.0108,"Americas","BHS","Bahamas",2,2.03715591761284
81.7428,"Asia","BHR","Bahrain",3,3.01778587085816
75.4677,"Asia","BGD","Bangladesh",3,3.054691900732
76.1808,"Asia","ARM","Armenia",3,2.92224983987398
76.645,"Americas","BRB","Barbados",2,1.88067148478391
82.5902,"Europe","BEL","Belgium",4,3.99493778380565
82.8251,"Americas","BMU","Bermuda",2,2.15742571419105
73.7997,"Asia","BTN","Bhutan",3,3.11329910562684
69.0652,"Americas","BOL","Bolivia (Plurinational State of)",2,1.86890482615369
78.4205,"Europe","BIH","Bosnia and Herzegovina",4,3.86461472837254
69.5736,"Africa","BWA","Botswana",1,0.958834957486639
76.3738,"Americas","BRA","Brazil",2,2.04273975120547
74.0816,"Americas","BLZ","Belize",2,1.92148218071088
70.9775,"Oceania","SLB","Solomon Islands",5,4.97973122618472
77.7565,"Americas","VGB","British Virgin Islands",2,1.90697253394562
75.8334,"Asia","BRN","Brunei Darussalam",3,3.11162294858756
76.1263,"Europe","BGR","Bulgaria",4,4.00558580962631
67.4994,"Asia","MMR","Myanmar",3,3.0722793629393
64.1381,"Africa","BDI","Burundi",1,0.866444825505217
74.967,"Europe","BLR","Belarus",4,4.02060913325598
71.1377,"Asia","KHM","Cambodia",3,2.88203792111017
64.51,"Africa","CMR","Cameroon",1,1.01874353992753
83.0533,"Americas","CAN","Canada",2,2.09859798902956
76.5624,"Africa","CPV","Cabo Verde",1,1.13993957817244
80.9029,"Americas","CYM","Cayman Islands",2,1.90713961026631
58.1536,"Africa","CAF","Central African Republic",1,1.05642589158379
78.0319,"Asia","LKA","Sri Lanka",3,3.10018758956964
55.5809,"Africa","TCD","Chad",1,0.84756802340659
81.7146,"Americas","CHL","Chile",2,2.12805707667333
79.022,"Asia","CHN","China",3,3.07771361231183
78.2719,"Americas","COL","Colombia",2,2.00360791633526
67.4779,"Africa","COM","Comoros",1,1.09104349534027
76.6118,"Africa","MYT","Mayotte",1,0.961773106983552
66.4152,"Africa","COG","Congo",1,0.914898093712206
62.3878,"Africa","COD","Democratic Republic of the Congo",1,0.988589927631741
75.8472,"Oceania","COK","Cook Islands",5,4.83747430859755
81.3829,"Americas","CRI","Costa Rica",2,1.93291212253583
79.0926,"Europe","HRV","Croatia",4,3.9404648009222
78.6244,"Americas","CUB","Cuba",2,2.00896131200716
82.1527,"Asia","CYP","Cyprus",3,2.89887640423452
80.2507,"Europe","CZE","Czechia",4,4.12351442423339
61.3206,"Africa","BEN","Benin",1,0.976144893870999
82.3853,"Europe","DNK","Denmark",4,4.10397273069248
71.6177,"Americas","DMA","Dominica",2,2.11090959981084
74.1203,"Americas","DOM","Dominican Republic",2,1.83826545292201
77.9379,"Americas","ECU","Ecuador",2,2.11203719497037
72.7428,"Americas","SLV","El Salvador",2,1.89555330465858
64.2988,"Africa","GNQ","Equatorial Guinea",1,0.948224838202198
68.1487,"Africa","ETH","Ethiopia",1,0.916485181466366
69.3976,"Africa","ERI","Eritrea",1,0.976720631665861
79.6369,"Europe","EST","Estonia",4,3.95833198850354
80.8109,"Europe","FRO","Faroe Islands",4,4.13026866464255
79.7809,"Americas","FLK","Falkland Islands (Malvinas)",2,1.87119330101026
67.7711,"Oceania","FJI","Fiji",5,5.00027388598149
82.4007,"Europe","FIN","Finland",4,4.0665796934627
83.7029,"Europe","FRA","France",4,4.08441483826997
77.5437,"Americas","GUF","French Guiana",2,1.83894413577703
84.4377,"Oceania","PYF","French Polynesia",5,4.88261597432817
66.6137,"Africa","DJI","Djibouti",1,1.12346352171153
68.8769,"Africa","GAB","Gabon",1,0.854133578017354
74.9777,"Asia","GEO","Georgia",3,3.07114078779705
66.4506,"Africa","GMB","Gambia",1,1.10452154612479
77.4228,"Asia","PSE","State of Palestine",3,2.86839448637329
81.8629,"Europe","DEU","Germany",4,4.15363685429717
66.0769,"Africa","GHA","Ghana",1,0.915687926191216
83.9016,"Europe","GIB","Gibraltar",4,3.97339861281216
66.858,"Oceania","KIR","Kiribati",5,4.86907751190787
82.3953,"Europe","GRC","Greece",4,3.83411304846716
70.4404,"Americas","GRL","Greenland",2,2.0010987604813
75.6674,"Americas","GRD","Grenada",2,2.13497573075195
82.5612,"Americas","GLP","Guadeloupe",2,2.04219398531131
77.8118,"Oceania","GUM","Guam",5,5.13545980133737
73.0429,"Americas","GTM","Guatemala",2,2.1366140327882
61.2269,"Africa","GIN","Guinea",1,0.915606296155602
70.5709,"Americas","GUY","Guyana",2,2.15273548740273
65.452,"Americas","HTI","Haiti",2,1.91785673750564
73.385,"Americas","HND","Honduras",2,1.85248708655126
