"year","Americas","Africa","World","Oceania","Europe","Asia"
2010,61.50799,578.76281,253.34397,116.50384,12.04967,152.54262
2022,70.44525,416.11528,202.5805,85.41683,9.76768,100.99314
2019,58.87799,460.99658,207.09742,87.92366,8.18706,100.80812
2020,73.04608,443.42663,210.50068,87.59228,10.82108,107.79012
2017,58.58672,498.17009,214.70836,90.15919,8.58328,104.55645
2011,59.31143,568.88021,247.32633,111.22987,11.11107,143.86453
2021,106.84179,459.60372,241.94014,99.19284,12.30082,144.69348
2016,58.05713,515.97591,220.34515,92.53143,9.16446,110.1214
2013,57.39975,546.38961,235.36088,102.37114,10.17491,128.30794
2012,57.68867,556.02573,238.81865,106.3785,10.58811,134.46747
2014,57.31133,540.25507,230.63485,100.05243,9.89314,120.59654
2015,56.93709,530.89483,227.7372,95.15684,9.52735,116.79241
2018,59.18014,475.89542,210.89553,89.01067,8.47699,103.71268
2023,58.54118,409.78695,197.30537,82.48954,7.196,93.01266
