"Ground","Female","Male","Diff"
"Age",4.52,4.38,0.14
"Disability or health status",1.78,2.05,-0.27
"Ethnicity, colour, language",4.83,5.52,-0.69
"Geographic location or place of residence",3.66,3.8,-0.14
"Marital and family status",5.21,2.84,2.37
"Migration status",3.89,3.18,0.71
"Other grounds",4.14,4.14,0
"Political opinion",2.29,3.09,-0.8
"Religion",4.13,4.64,-0.51
"Sex",5.55,2.45,3.1
"Sexual orientation and gender identity",2.15,2.01,0.14
"Socio-economic status",4.79,4.76,0.0300000000000002
