"Location","Value","Region Name"
"Lesotho","51.5 [50.5-52.6]","Africa"
"Central African Republic","52.3 [51.1-53.4]","Africa"
"Somalia","54.0 [52.9-55.1]","Africa"
"Eswatini","54.6 [53.5-55.9]","Africa"
"Mozambique","57.7 [56.6-58.8]","Africa"
"Zimbabwe","58.5 [57.8-59.4]","Africa"
"South Sudan","58.6 [57.2-59.8]","Africa"
"Guinea-Bissau","58.6 [57.7-59.8]","Africa"
"Chad","59.1 [57.9-60.4]","Africa"
"Afghanistan","59.1 [58.3-59.9]","Asia"
"Niger","60.0 [58.7-61.1]","Africa"
"Namibia","60.4 [59.6-61.4]","Africa"
"Kiribati","60.9 [59.9-61.8]","Oceania"
"Sierra Leone","61.0 [59.8-62.3]","Africa"
"Zambia","61.0 [60.1-62.1]","Africa"
"Botswana","61.2 [60.2-62.4]","Africa"
"Guinea","61.3 [60.3-62.3]","Africa"
"South Africa","61.5 [61.1-61.9]","Africa"
"Equatorial Guinea","61.6 [60.1-63.3]","Africa"
"Democratic Republic of the Congo","61.6 [60.8-62.5]","Africa"
"Mali","61.7 [60.8-62.7]","Africa"
"Cameroon","61.8 [61.0-62.7]","Africa"
"Angola","62.1 [61.2-63.1]","Africa"
"Burkina Faso","62.3 [61.4-63.3]","Africa"
"Haiti","62.5 [61.5-63.6]","Americas"
"Malawi","62.5 [61.7-63.2]","Africa"
"Madagascar","62.9 [62.1-63.9]","Africa"
"Congo","63.2 [62.2-64.1]","Africa"
"Nigeria","63.4 [62.4-64.6]","Africa"
"Liberia","63.5 [62.2-64.7]","Africa"
"Cote d'Ivoire","63.5 [62.6-64.6]","Africa"
"Eritrea","63.6 [62.7-64.5]","Africa"
"Togo","63.9 [62.9-65.0]","Africa"
"Benin","64.0 [63.2-65.1]","Africa"
"Burundi","64.0 [63.3-65.0]","Africa"
"Gambia","64.2 [63.4-65.1]","Africa"
"Solomon Islands","64.8 [63.8-65.9]","Oceania"
"Djibouti","64.9 [64.0-66.2]","Africa"
"Gabon","65.1 [64.3-66.0]","Africa"
"Bolivia (Plurinational State of)","65.4 [64.9-66.2]","Americas"
"Papua New Guinea","65.5 [64.6-66.5]","Oceania"
"Fiji","65.5 [64.7-66.6]","Oceania"
"Micronesia (Federated States of)","65.7 [64.8-66.6]","Oceania"
"Yemen","65.8 [65.1-66.6]","Asia"
"Pakistan","66.0 [65.0-67.1]","Asia"
"Uganda","66.0 [65.2-66.9]","Africa"
"Guyana","66.1 [65.2-67.4]","Americas"
"Ghana","66.1 [65.3-66.9]","Africa"
"Vanuatu","66.3 [65.7-67.1]","Oceania"
"Philippines","66.4 [65.8-67.0]","Asia"
"United Republic of Tanzania","66.8 [66.1-67.6]","Africa"
"Kenya","66.8 [66.2-67.4]","Africa"
"India","67.3 [66.9-67.8]","Asia"
"Comoros","67.5 [66.8-68.4]","Africa"
"Rwanda","67.5 [67.0-68.3]","Africa"
"Sudan","67.6 [66.8-68.5]","Africa"
"Myanmar","67.8 [67.0-68.7]","Asia"
"Ethiopia","67.8 [67.1-68.6]","Africa"
"Senegal","67.8 [67.2-68.6]","Africa"
"Timor-Leste","68.0 [67.2-69.1]","Asia"
"Lao People's Democratic Republic","68.2 [67.4-69.2]","Asia"
"Indonesia","68.3 [67.5-69.0]","Asia"
"Guatemala","68.7 [68.3-69.2]","Americas"
"Mauritania","68.9 [68.2-69.7]","Africa"
"Cambodia","68.9 [68.3-69.8]","Asia"
"Honduras","69.0 [68.4-69.6]","Americas"
"Turkmenistan","69.1 [68.4-70.1]","Asia"
"Egypt","69.1 [68.7-69.7]","Africa"
"Republic of Moldova","69.6 [69.2-69.9]","Europe"
"Suriname","69.8 [68.8-70.9]","Americas"
"Nepal","70.0 [69.4-70.6]","Asia"
"Russian Federation","70.0 [70.0-70.1]","Europe"
"Jamaica","70.1 [69.5-70.9]","Americas"
"Mongolia","70.1 [69.7-70.6]","Asia"
"Paraguay","70.3 [69.6-71.0]","Americas"
"Samoa","70.3 [69.6-71.0]","Oceania"
"Kazakhstan","70.3 [70.0-70.6]","Asia"
"Bahamas","70.4 [69.9-71.2]","Americas"
"Mexico","70.8 [70.7-71.1]","Americas"
"Ukraine","70.9 [69.9-71.9]","Europe"
"Saint Lucia","71.1 [70.3-72.0]","Americas"
"Venezuela (Bolivarian Republic of)","71.2 [70.5-71.9]","Americas"
"Sao Tome and Principe","71.2 [70.7-71.7]","Africa"
"Georgia","71.2 [71.1-71.4]","Asia"
"Bulgaria","71.3 [71.2-71.5]","Europe"
"Iraq","71.5 [70.9-72.2]","Asia"
"Trinidad and Tobago","71.7 [70.8-72.7]","Americas"
"Peru","71.7 [71.2-72.2]","Americas"
"El Salvador","71.7 [71.2-72.3]","Americas"
"Tajikistan","71.8 [71.2-72.5]","Asia"
"Libya","72.2 [71.6-72.8]","Africa"
"Kyrgyzstan","72.2 [71.7-72.7]","Asia"
"Uzbekistan","72.2 [71.8-72.7]","Asia"
"Syrian Arab Republic","72.4 [71.8-73.3]","Asia"
"Brazil","72.4 [72.2-72.6]","Americas"
"Oman","72.5 [72.2-72.9]","Asia"
"Democratic People's Republic of Korea","72.6 [71.8-73.4]","Asia"
"Morocco","72.6 [72.1-73.2]","Africa"
"Saint Vincent and the Grenadines","72.6 [72.2-73.0]","Americas"
"Tonga","72.7 [72.1-73.5]","Oceania"
"Grenada","72.8 [72.0-73.5]","Americas"
"Malaysia","72.8 [72.6-73.0]","Asia"
"Romania","72.8 [72.7-72.9]","Europe"
"Serbia","72.8 [72.8-72.9]","Europe"
"Azerbaijan","72.9 [72.5-73.4]","Asia"
"North Macedonia","73.0 [72.6-73.4]","Europe"
"Armenia","73.0 [72.7-73.4]","Asia"
"Bangladesh","73.1 [72.4-73.8]","Asia"
"Belarus","73.1 [72.7-73.7]","Europe"
"Cabo Verde","73.2 [72.6-73.8]","Africa"
"Latvia","73.2 [73.1-73.3]","Europe"
"Dominican Republic","73.3 [72.7-74.0]","Americas"
"Belize","73.3 [72.9-73.8]","Americas"
"Mauritius","73.4 [73.1-73.8]","Africa"
"occupied Palestinian territory, including east Jerusalem","73.5 [73.1-73.9]","Asia"
"Cuba","73.7 [73.4-74.0]","Americas"
"Viet Nam","73.8 [73.2-74.4]","Asia"
"Ecuador","74.0 [73.4-74.5]","Americas"
"Seychelles","74.0 [73.8-74.4]","Africa"
"Tunisia","74.1 [73.6-74.7]","Africa"
"Lithuania","74.1 [74.1-74.2]","Europe"
"Lebanon","74.3 [73.8-74.9]","Asia"
"Bahrain","74.4 [74.1-74.7]","Asia"
"Hungary","74.4 [74.4-74.5]","Europe"
"Colombia","74.5 [74.1-75.1]","Americas"
"Slovakia","74.5 [74.5-74.6]","Europe"
"Argentina","74.6 [74.4-74.8]","Americas"
"Montenegro","74.7 [74.5-75.0]","Europe"
"Iran (Islamic Republic of)","74.7 [74.6-74.9]","Asia"
"Bosnia and Herzegovina","74.8 [74.5-75.5]","Europe"
"Bhutan","74.9 [74.2-75.5]","Asia"
"Nicaragua","75.0 [74.6-75.5]","Americas"
"Uruguay","75.0 [74.9-75.1]","Americas"
"Thailand","75.3 [74.6-76.2]","Asia"
"Türkiye","75.3 [74.9-75.8]","Asia"
"Maldives","75.4 [75.1-75.8]","Asia"
"Poland","75.4 [75.4-75.5]","Europe"
"Jordan","75.6 [75.2-76.2]","Asia"
"Algeria","76.0 [75.5-76.5]","Africa"
"Saudi Arabia","76.4 [76.0-76.9]","Asia"
"Albania","76.4 [76.1-76.9]","Europe"
"United States of America","76.4 [76.3-76.5]","Americas"
"Qatar","76.7 [76.2-77.4]","Asia"
"Barbados","76.8 [76.3-77.5]","Americas"
"Antigua and Barbuda","76.9","Americas"
"Brunei Darussalam","76.9 [76.6-77.4]","Asia"
"Croatia","76.9 [76.8-77.0]","Europe"
"Czechia","77.1 [77.0-77.2]","Europe"
"Estonia","77.1 [77.0-77.3]","Europe"
"Sri Lanka","77.2 [76.2-78.5]","Asia"
"Panama","77.2 [76.6-77.9]","Americas"
"China","77.6 [77.1-78.3]","Asia"
"United Arab Emirates","78.3 [77.9-78.9]","Asia"
"Costa Rica","78.6 [78.6-78.8]","Americas"
"Kuwait","79.0 [78.5-79.6]","Asia"
"Chile","79.0 [79.0-79.1]","Americas"
"Greece","79.6 [79.6-79.7]","Europe"
"Puerto Rico","79.9 [79.5-80.5]","Americas"
"United Kingdom of Great Britain and Northern Ireland","80.1 [80.1-80.2]","Europe"
"Slovenia","80.4 [80.3-80.6]","Europe"
"Germany","80.5 [80.5-80.6]","Europe"
"Austria","81.0 [81.0-81.1]","Europe"
"Netherlands (Kingdom of the)","81.1 [81.1-81.2]","Europe"
"Denmark","81.2 [81.1-81.3]","Europe"
"Portugal","81.2 [81.2-81.3]","Europe"
"Belgium","81.5 [81.5-81.6]","Europe"
"Finland","81.5 [81.5-81.6]","Europe"
"Canada","81.6 [81.5-81.7]","Americas"
"Ireland","81.6 [81.6-81.7]","Europe"
"Israel","81.7 [81.7-81.9]","Asia"
"Malta","81.8 [81.6-82.0]","Europe"
"Cyprus","81.9 [81.7-82.2]","Asia"
"France","81.9 [81.9-82.0]","Europe"
"Italy","82.2 [82.2-82.3]","Europe"
